PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
207.1,66.45,307.38,54.8,119.87,108.89,23.1,366
150.89,47.72,225.66,72.64,109.23,84.64,23.7,345
76.12,30.51,137.44,9.77,38.62,73.2,21,228
88.73,41.47,137.44,12.59,48.81,75.96,21.1,213
86.17,56.77,194.61,32.16,58.22,95.32,21.3,208
177.64,117.04,309.47,93.53,150.74,200.41,21.7,319
131.69,81.93,232.45,53.41,121.16,97.56,22.6,315
129.66,76.82,236.27,50.39,101.86,115.84,22.8,293
144.98,86.59,245.96,63.25,102.02,117.3,22.7,342
163.92,76.43,263.73,84.62,114.7,130.99,23.1,338
170.12,76.4,255.34,85.99,134.66,137.57,23.8,344
213.62,102.02,299.88,113.63,151.93,138.3,24.9,370
175.63,102.23,244.58,123.21,181.1,157.07,25,365
165.22,100.71,264.31,116.23,182.37,113.89,25.9,348
115.55,60.47,201.71,28.05,79.02,103.88,27.3,312
53,48.15,129.37,9.63,48.15,84.88,23.9,214
47.43,55.78,60.61,17.03,61.54,81.26,22.9,165
98.61,54.69,167.78,33.11,84.84,82.97,23.7,218
84.42,43.9,134.81,19.94,61.04,61.83,23.4,230
109.16,49.75,164.84,35.5,76.08,66.4,24.1,248
129.9,60.19,240.67,54.54,100.31,92.04,25.5,276
85.76,30.44,204.96,38.38,48.08,36.99,25,213
60.17,15.89,113.098,8.84,19.14,31.91,24.5,127
58.95,10.63,138.664,4.1,15.13,66.25,24.3,112
51.82,38.11,79.14,23.42,46.02,55.08,22.4,111
81.32,34.54,162.38,71.57,75.09,77.88,24.1,193
67.63,36.61,152.46,21.36,53.44,48.58,23.9,123
70.86,65.89,137.98,22.03,78.38,73.05,26.3,194
72.47,64.64,133.3,24.06,69.35,70.45,26.2,186
103.73,77.89,194.95,67.6,131.48,56.49,26.8,242
95.52,57.84,167.64,55.13,99.81,97.74,27.1,267
58.4,36.37,129.21,12.64,45.3,65.16,26.6,207
47.43,31.12,139.62,5.98,32.05,70.69,25,176
80.01,50.45,148.1,34.57,67.93,84.89,27.2,189
156.01,88.44,228.19,85.62,138.71,169.36,28.1,341
137.99,85.91,217.03,47.16,112.34,142.38,29.8,325
72.44,42.51,122.24,12.75,48.36,66.2,24.7,259
61.75,37.18,54,6.56,36.21,66.87,26.3,178
81.46,53.01,110.31,21.37,67.76,77.27,26,219
89.75,48.72,156.89,18.61,62.06,67.87,27.2,206
88.68,46.74,163.7,28.13,64.38,47.01,29.6,221
127.86,61.21,218.3,93.5,117.28,62.15,29.9,298
130.7,15.89,41.236,5.58,20.05,29.69,30.5,316
118.44,18.29,136.942,16.79,30.66,29.38,32.3,294
148.22,44.98,217.84,63.75,91.09,69.66,33.4,314
132.86,31.55,377.61,54.82,70.95,63.44,32.8,334
97.83,20.15,174.11,7.16,26.39,28.8,32.3,261
91.82,52.54,202.91,24.61,64.76,37.04,31.4,208
129.61,58.6,329.68,54.59,98.07,32.33,29.5,289
